file_name,parent_folder,A,freq,num_grids,grid_spacing,grid_pos,origin_y,origin_x,need2rotate,use_now
,,,,,,,,,,
PIV_sv_vp_makro100mmzeiss_X0mm_Y15mm_fps10k_A05mm_f05Hz_grid3x4_5cycles_Cam_20861_Cine3,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170816\Cines_A,5,5,4,10,high,0.05,,1,0
PIV_sv_vp_makro100mmzeiss_X0mm_Y15mm_fps10k_A05mm_f08Hz_grid3x4_5cycles_Cam_20861_Cine3,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170816\Cines_A,5,8,4,10,high,0.05,,1,0
PIV_sv_vp_makro100mmzeiss_X0mm_Y15mm_fps10k_A05mm_f10Hz_grid3x4_5cycles_Cam_20861_Cine3,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170816\Cines_A,5,10,4,10,high,0.05,,1,0
PIV_sv_vp_makro100mmzeiss_X0mm_Y15mm_fps10k_A10mm_f05Hz_grid3x4_5cycles_Cam_20861_Cine3,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170816\Cines_A,10,5,4,10,high,0.05,,1,0
PIV_sv_vp_makro100mmzeiss_X0mm_Y15mm_fps10k_A10mm_f08Hz_grid3x4_5cycles_Cam_20861_Cine3,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170816\Cines_A,10,8,4,10,high,0.05,,1,0
PIV_sv_vp_makro100mmzeiss_X0mm_Y15mm_fps10k_A10mm_f10Hz_grid3x4_5cycles_Cam_20861_Cine3,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170816\Cines_A,10,10,4,10,high,0.05,,1,0
PIV_sv_vp_makro100mmzeiss_X0mm_Y15mm_fps10k_A15mm_f05Hz_grid3x4_5cycles_Cam_20861_Cine3,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170816\Cines_A,15,5,4,10,high,0.05,,1,0
PIV_sv_vp_makro100mmzeiss_X0mm_Y15mm_fps10k_A15mm_f08Hz_grid3x4_5cycles_Cam_20861_Cine3,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170816\Cines_A,15,8,4,10,high,0.05,,1,0
PIV_sv_vp_makro100mmzeiss_X0mm_Y15mm_fps10k_A15mm_f10Hz_grid3x4_5cycles_Cam_20861_Cine3,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170816\Cines_A,15,10,4,10,high,0.05,,1,0
,,,,,,,,,,
PIV_svCloseUpBottomThird_makro100mmzeiss_X0mm_Y05mm_fps2500_A15mm_f05Hz_grid3x4_10cycles,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170816\Cines_B,15,5,4,10,high,0.15,,0,0
PIV_svCloseUpBottomThird_makro100mmzeiss_X0mm_Y05mm_fps2500_A15mm_f10Hz_grid3x4_10cycles,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170816\Cines_B,15,10,4,10,high,0.15,,0,0
PIV_svCloseUpCenterThird_makro100mmzeiss_X0mm_Y15mm_fps2500_A15mm_f05Hz_grid3x4_10cycles,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170816\Cines_B,15,5,4,10,high,0.25,,0,0
PIV_svCloseUpCenterThird_makro100mmzeiss_X0mm_Y15mm_fps2500_A15mm_f10Hz_grid3x4_10cycles,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170816\Cines_B,15,10,4,10,high,0.25,,0,0
,,,,,,,,,,
PIV_sv_makro100mmzeiss_fps10k_A05mm_f05Hz_grid3x4x6_5cycles,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170817,5,5,4,6,high,0.05,,1,0
PIV_sv_makro100mmzeiss_fps10k_A10mm_f05Hz_grid3x4x6_5cycles,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170817,10,5,4,6,high,0.05,,1,0
PIV_sv_makro100mmzeiss_fps10k_A10mm_f10Hz_grid3x4x6_10cycles,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170817,10,10,4,6,high,0.05,,1,0
,,,,,,,,,,
PIV_sv_mz100mm_fps10k_A05mm_f05Hz_grid3Thick3x2x10_10cycles,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170817,5,5,2,10,high,0.05,,1,0
,,,,,,,,,,
PIV_sv_fps2k_grid3x3x10_withCap_Cam_20861_Cine2,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170917,2,5,3,10,low,0,,1,0
PIV_sv_fps2k_grid3x3x10_withCap_Cam_20861_Cine1,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170917,5,5,3,10,low,0,,1,0
PIV_sv_fps2k_grid3x3x10_withCap_Cam_20861_Cine3,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170917,10,5,3,10,low,0,,1,0
PIV_sv_fps2k_grid3x3x10_withCap_Cam_20861_Cine4,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170917,2,10,3,10,low,0,,1,0
PIV_sv_fps2k_grid3x3x10_withCap_Cam_20861_Cine5,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170917,5,10,3,10,low,0,,1,0
,,,,,,,,,,
